"","C24","CCA1-OX","COL","LER","PIF4OX","PIF5OXL1","PIF5OXL2","WS","elf3","elf4","hy2-103","hy5-1","pif4","pif4pif5","pif5s1","toc1-2"
"4440",0.000320529939406109,0.0002563574840512,0.000306840581293738,0.00064290065713736,0.00101803018788084,0.00113312648022851,0.00143442009773110,0.000507227426609365,0.000876970111554175,0.000378789123475234,0.00075135879500167,0.000204665317085376,5.44046557700188e-05,2.10723385032470e-05,1.03097351585576e-06,0.000626991251989267
"4450",0.000282492202916153,0.000247347908339961,0.000284388039714416,0.000619139866501576,0.00102145454507715,0.00115718766843694,0.00144247787208985,0.000514520844670715,0.000834080830362649,0.000335874234034679,0.000764466846147437,0.000251756261186965,5.58740882986809e-05,2.24780244555213e-05,6.34878474479823e-07,0.000551122135266631
"4460",0.000252313997676811,0.000245200901930136,0.000264197481962793,0.000598974404918142,0.00102297205549940,0.00118384542992452,0.00145181380590409,0.000522848549808401,0.000798150177019657,0.000299189186712319,0.000784175280856766,0.000298662778236788,6.02627894740538e-05,2.32496169265772e-05,2.82265216827154e-07,0.000474093870780889
"4470",0.000230180034614085,0.000247496146461546,0.000245739335918252,0.000581972335037181,0.00102217035427783,0.00120983192623794,0.00146209309788112,0.00052953523900141,0.000767605146147875,0.000267886405131478,0.000807501666856387,0.000342904235704565,6.69813587909498e-05,2.32248449716137e-05,-3.35106133460728e-08,0.000398817799596513
"4480",0.000216148817188342,0.000252260092886161,0.000228443126991122,0.000567736607771731,0.00101975248749816,0.00123181780029036,0.00147271964522528,0.000532043912646862,0.000740713999517852,0.000241117493950212,0.000830982994005135,0.000383065832382764,7.53584629294485e-05,2.25140105385179e-05,-3.19099100514496e-07,0.000328031651383682
"4490",0.000209444361888861,0.000259181523681687,0.000212215179151918,0.000555379247855738,0.00101690824851762,0.00124604192751304,0.00148007828987495,0.000529465285825029,0.000716153676672096,0.000218059294639093,0.000851184230596057,0.000419770015510276,8.47020415306279e-05,2.1319148831225e-05,-5.80929568055969e-07,0.000263106154448495
"4500",0.000208951610770904,0.000268260511642187,0.000197368952080976,0.000543113193493178,0.00101515444886395,0.00124921233754528,0.00147614641158296,0.000522043068488726,0.00069304694508117,0.000197899827272833,0.000866790387652334,0.000453449741970122,9.40393067428758e-05,1.98284191908333e-05,-8.25253604295842e-07,0.000204781388773318
"4510",0.000213570015112263,0.000279306762695156,0.000184150115577320,0.000529520520015194,0.00101593910722277,0.00124024857801593,0.00145251365782667,0.000510642289952937,0.00067139677842585,0.000179864019827917,0.000877001179291416,0.000484064262626104,0.000102274314875789,1.81545555811326e-05,-1.05788522847588e-06,0.000153683118955498
"4520",0.000222209092071620,0.000291350948757164,0.000172456832890804,0.000514593831694418,0.00101972030382668,0.00122105263135293,0.00140445830063447,0.000496390338376159,0.000652208014035585,0.000163353131459013,0.000881455229546951,0.000511144215589002,0.000108477597454912,1.63849078736758e-05,-1.28167143898871e-06,0.000109722494559452
"4530",0.000233750748019185,0.000303178812062373,0.000161936240185005,0.000499278612679082,0.00102521970955141,0.00119437382800487,0.00133437793960666,0.000480454654236387,0.00063645867155357,0.000147828697631883,0.000880037864426636,0.000535088718487893,0.000112746461630383,5.44387033889913e-10,-1.49820672776813e-06,7.25213941573085e-05
